1,58,1
1,105,2
1,124,3
10,126,1
10,180,2
10,9,3
100,87,1
100,91,2
100,44,3
101,9,1
101,27,2
101,46,3
102,9,1
102,26,2
102,27,3
103,69,1
103,135,2
103,11,3
104,76,1
104,86,2
104,98,3
105,195,1
105,9,2
105,27,3
106,34,1
106,131,2
106,137,3
107,99,1
107,134,2
107,74,3
108,52,1
108,9,2
108,27,3
109,53,1
109,156,2
109,9,3
11,9,1
11,18,2
11,25,3
110,9,1
110,146,2
110,27,3
111,97,1
111,188,2
111,12,3
112,118,1
112,25,2
112,176,3
113,2,1
113,15,2
113,58,3
114,179,1
114,4,2
114,9,3
115,128,1
115,110,2
115,124,3
116,152,1
116,155,2
116,9,3
117,161,1
117,7,2
117,37,3
118,112,1
118,25,2
118,69,3
119,112,1
119,176,2
119,36,3
12,191,1
12,73,2
12,88,3
120,76,1
120,9,2
120,26,3
121,17,1
121,24,2
121,105,3
122,149,1
122,9,2
122,27,3
123,52,1
123,85,2
123,168,3
124,15,1
124,9,2
124,27,3
125,1,1
125,87,2
125,91,3
126,9,1
126,27,2
126,46,3
127,9,1
127,27,2
127,34,3
128,110,1
128,124,2
128,179,3
129,9,1
129,27,2
129,46,3
13,57,1
13,31,2
13,122,3
130,9,1
130,34,2
130,57,3
131,34,1
131,116,2
131,143,3
132,85,1
132,105,2
132,9,3
133,122,1
133,148,2
133,180,3
134,105,1
134,124,2
134,164,3
135,69,1
135,103,2
135,11,3
136,179,1
136,34,2
136,143,3
137,76,1
137,164,2
137,9,3
138,9,1
138,27,2
138,46,3
139,169,1
139,24,2
139,105,3
14,79,1
14,80,2
14,6,3
140,195,1
140,32,2
140,105,3
141,9,1
141,11,2
141,18,3
142,167,1
142,86,2
142,98,3
143,34,1
143,124,2
143,179,3
144,31,1
144,59,2
144,134,3
145,105,1
145,9,2
145,27,3
146,110,1
146,9,2
146,17,3
147,52,1
147,9,2
147,27,3
148,27,1
148,45,2
148,122,3
149,105,1
149,122,2
149,9,3
15,124,1
15,58,2
15,2,3
150,9,1
150,27,2
150,34,3
151,9,1
151,27,2
151,46,3
152,116,1
152,155,2
152,9,3
153,9,1
153,27,2
153,46,3
154,9,1
154,27,2
154,46,3
155,116,1
155,24,2
155,105,3
156,70,1
156,96,2
156,105,3
157,105,1
157,155,2
157,179,3
158,3,1
158,171,2
158,9,3
159,117,1
159,6,2
159,25,3
16,110,1
16,151,2
16,9,3
160,6,1
160,25,2
160,69,3
161,117,1
161,7,2
161,37,3
162,9,1
162,27,2
162,46,3
163,52,1
163,110,2
163,9,3
